name,description,latitude,longitude,color
かえで,麗澤大学のキャンパス,35.833049,139.9550264,green
あすなろ,麗澤大学のキャンパス,35.83218389,139.9559046,green
ひいらぎ,麗澤大学の学食,35.83432746,139.9549204,green
図書館,麗澤大学の図書館,35.83288621,139.9560384,green
駐車場,麗澤大学の駐車場,35.83477548,139.9561362,green
部室棟,麗澤大学の部室,35.83480868,139.954898,green
セブンイレブン,麗澤大学の近くのコンビニ,35.83153178,139.9561558,orange
モスカフェ,麗澤大学の近くのカフェ,35.83114272,139.9559601,orange
光が丘小学校,麗澤大学の近くの小学校,35.83637864,139.9558368,orange
柏警察署光ヶ丘交番,麗澤大学は柏市の近くの交番,35.83038281,139.9559565,orange